source_city,destination_city,transport_mode,distance_km,shipment_weight_kg,traffic_level,weather_condition,departure_hour,day_of_week,month,transfer_count,historical_delay_rate,actual_delivery_hours
Coimbatore,Mumbai,ROAD,997.2,1368.0,LOW,CLEAR,15,1,5,2,0.0253,25.99
Ahmedabad,Visakhapatnam,AIR,1257.9,429.0,LOW,STORM,15,4,2,1,0.2606,7.62
Kochi,Bengaluru,ROAD,367.7,333.7,HIGH,CLEAR,18,5,8,0,0.2278,14.07
Indore,Chennai,RAIL,1168.6,277.1,MEDIUM,RAIN,18,5,12,0,0.0026,22.07
Lucknow,Surat,ROAD,1037.7,648.7,LOW,CLEAR,16,6,12,0,0.172,17.96
Bengaluru,Indore,ROAD,1099.4,1479.6,MEDIUM,CLEAR,10,3,2,1,0.0031,27.26
Ahmedabad,Kolkata,ROAD,1618.9,110.6,MEDIUM,RAIN,7,0,10,1,0.0328,47.31
Nagpur,Jaipur,RAIL,723.5,1037.3,LOW,RAIN,15,5,5,0,0.2965,10.49
Guwahati,Nagpur,ROAD,1402.1,6763.1,MEDIUM,RAIN,13,0,11,1,0.1371,40.99
Mumbai,Jaipur,AIR,920.7,4214.5,MEDIUM,CLEAR,5,4,8,1,0.0082,8.62
Patna,Ahmedabad,ROAD,1304.5,543.4,LOW,RAIN,21,5,9,0,0.2551,28.5
Visakhapatnam,Delhi,RAIL,1360.9,205.2,HIGH,STORM,9,0,11,0,0.2752,40.82
Guwahati,Lucknow,ROAD,1076.3,1904.2,LOW,CLEAR,0,5,11,2,0.1645,29.5
Jaipur,Visakhapatnam,RAIL,1278.6,68.0,LOW,CLEAR,19,5,2,0,0.2118,20.66
Bengaluru,Indore,ROAD,1099.4,4155.5,LOW,CLEAR,14,4,9,0,0.234,25.47
Hyderabad,Bhubaneswar,ROAD,837.2,848.7,MEDIUM,SNOW,16,2,2,0,0.2204,24.84
Bhubaneswar,Bengaluru,ROAD,1196.1,9873.0,MEDIUM,CLEAR,7,1,12,1,0.1484,48.13
Bhubaneswar,Mumbai,ROAD,1361.9,138.1,HIGH,RAIN,11,4,8,1,0.2498,44.59
Indore,Surat,ROAD,356.5,3300.3,LOW,CLEAR,15,1,3,1,0.1582,11.39
Bengaluru,Chennai,AIR,290.2,972.0,MEDIUM,RAIN,8,4,4,0,0.0779,1.59
Bengaluru,Bhopal,ROAD,1144.2,737.1,MEDIUM,SNOW,16,1,11,1,0.0012,36.15
Lucknow,Coimbatore,ROAD,1809.1,211.9,LOW,RAIN,8,2,8,0,0.1076,40.31
Bhopal,Pune,AIR,643.5,2241.5,LOW,CLEAR,8,3,3,2,0.0248,9.01
Mumbai,Surat,ROAD,232.9,2468.5,HIGH,CLEAR,0,1,10,3,0.019,17.45
Nagpur,Chennai,ROAD,905.3,9340.9,LOW,RAIN,9,5,9,1,0.1408,31.37
Surat,Bhubaneswar,RAIL,1354.3,3676.3,MEDIUM,CLEAR,8,4,1,0,0.2831,26.55
Mumbai,Kolkata,AIR,1654.8,537.7,MEDIUM,SNOW,17,0,4,1,0.0317,7.61
Delhi,Visakhapatnam,RAIL,1360.9,328.8,LOW,CLEAR,14,5,11,0,0.0821,16.71
Lucknow,Nagpur,ROAD,661.4,212.3,HIGH,CLEAR,7,5,5,0,0.249,26.36
Patna,Bengaluru,AIR,1610.3,6424.5,HIGH,CLEAR,14,5,1,2,0.1205,15.13
Visakhapatnam,Patna,ROAD,901.3,431.0,MEDIUM,RAIN,8,4,8,0,0.2276,27.5
Jaipur,Chennai,AIR,1607.1,6478.7,MEDIUM,STORM,11,4,11,0,0.1627,11.37
Hyderabad,Bhopal,AIR,662.8,2059.2,MEDIUM,CLEAR,19,2,7,1,0.1812,6.79
Guwahati,Bhubaneswar,AIR,887.3,1629.3,MEDIUM,CLEAR,16,1,12,1,0.0483,6.53
Lucknow,Bhopal,ROAD,534.5,758.8,LOW,CLEAR,15,1,2,1,0.1057,13.79
Pune,Coimbatore,ROAD,898.3,2423.1,MEDIUM,STORM,9,2,9,0,0.1865,38.43
Jaipur,Lucknow,RAIL,511.7,1076.5,LOW,SNOW,6,2,8,1,0.008,10.06
Mumbai,Kochi,RAIL,1080.2,704.1,MEDIUM,CLEAR,17,5,12,0,0.0565,20.61
Pune,Ahmedabad,RAIL,518.1,2528.1,MEDIUM,RAIN,14,3,7,2,0.1159,16.63
Surat,Patna,AIR,1348.1,922.6,LOW,SNOW,15,2,10,0,0.2024,3.87
Coimbatore,Kolkata,RAIL,1766.1,420.7,HIGH,SNOW,22,5,2,0,0.1529,43.67
Patna,Mumbai,ROAD,1453.2,2252.5,LOW,CLEAR,10,5,1,1,0.2156,34.83
Kochi,Bengaluru,ROAD,367.7,1015.6,LOW,RAIN,17,6,9,0,0.2181,9.59
Surat,Ahmedabad,ROAD,207.7,1971.8,LOW,RAIN,14,2,1,1,0.0093,8.64
Bengaluru,Lucknow,ROAD,1581.9,636.1,MEDIUM,CLEAR,8,1,11,0,0.2705,40.59
Ahmedabad,Patna,ROAD,1304.5,257.0,LOW,CLEAR,3,0,1,0,0.2473,22.46
Guwahati,Ahmedabad,AIR,1966.8,8796.3,MEDIUM,CLEAR,15,1,9,0,0.0813,12.73
Mumbai,Pune,RAIL,120.2,7015.9,MEDIUM,CLEAR,9,4,6,0,0.1454,9.47
Bhubaneswar,Jaipur,RAIL,1258.9,3167.0,LOW,CLEAR,16,5,8,0,0.0924,17.97
Nagpur,Surat,ROAD,648.8,688.6,HIGH,SNOW,16,4,8,0,0.272,26.93
Hyderabad,Indore,RAIL,653.6,764.8,LOW,SNOW,12,6,6,0,0.1148,9.85
Kochi,Kolkata,AIR,1906.4,5760.6,MEDIUM,CLEAR,13,4,6,2,0.1188,15.64
Visakhapatnam,Indore,AIR,950.0,717.2,LOW,CLEAR,15,6,7,1,0.2736,5.79
Mumbai,Indore,RAIL,509.8,513.3,MEDIUM,RAIN,12,1,9,0,0.1802,9.19
Bengaluru,Kochi,AIR,367.7,10370.1,HIGH,CLEAR,19,2,9,0,0.0414,10.59
Nagpur,Surat,RAIL,648.8,1035.7,LOW,CLEAR,5,5,6,0,0.1878,9.22
Guwahati,Visakhapatnam,ROAD,1286.2,9155.5,LOW,SNOW,22,4,5,0,0.2383,37.45
Mumbai,Kolkata,AIR,1654.8,204.8,LOW,CLEAR,2,3,1,0,0.1014,3.58
Nagpur,Patna,ROAD,790.9,2042.3,LOW,CLEAR,8,6,10,0,0.1581,19.03
Bengaluru,Mumbai,ROAD,845.3,13164.8,HIGH,RAIN,16,5,3,3,0.1881,50.86
Nagpur,Bengaluru,ROAD,922.7,1136.5,MEDIUM,RAIN,5,2,6,1,0.1531,28.74
Indore,Bhubaneswar,RAIL,1065.4,798.9,MEDIUM,CLEAR,8,4,12,0,0.2997,20.26
Delhi,Lucknow,RAIL,417.0,270.1,HIGH,RAIN,7,2,10,0,0.152,10.41
Nagpur,Indore,RAIL,376.4,4019.1,HIGH,STORM,16,2,5,0,0.193,13.78
Bhubaneswar,Indore,ROAD,1065.4,435.2,HIGH,CLEAR,14,5,6,0,0.2381,36.65
Bhubaneswar,Nagpur,ROAD,706.9,978.7,LOW,RAIN,4,4,4,1,0.041,16.92
Mumbai,Kolkata,AIR,1654.8,249.3,LOW,CLEAR,12,0,8,0,0.0132,3.53
Kolkata,Chennai,ROAD,1358.4,7103.0,LOW,CLEAR,8,4,2,0,0.2919,37.8
Kolkata,Mumbai,AIR,1654.8,4384.6,LOW,CLEAR,21,4,12,0,0.2197,7.93
Lucknow,Bhubaneswar,ROAD,881.6,1055.8,LOW,CLEAR,6,3,12,1,0.118,20.1
Bengaluru,Kolkata,RAIL,1560.7,274.5,LOW,CLEAR,14,2,4,0,0.0053,19.73
Bhubaneswar,Bhopal,RAIL,928.8,6926.4,LOW,SNOW,12,4,3,3,0.0499,26.68
Kochi,Lucknow,AIR,1944.0,706.9,MEDIUM,CLEAR,14,6,7,0,0.0029,4.95
Visakhapatnam,Chennai,ROAD,601.6,291.1,LOW,SNOW,21,0,8,0,0.1189,13.09
Chennai,Jaipur,AIR,1607.1,132.4,LOW,CLEAR,10,4,8,0,0.1665,3.86
Mumbai,Delhi,RAIL,1148.1,505.1,LOW,SNOW,17,6,1,1,0.0482,22.27
Coimbatore,Chennai,RAIL,427.4,191.4,MEDIUM,RAIN,11,2,9,0,0.192,7.34
Hyderabad,Bengaluru,RAIL,500.0,519.4,MEDIUM,CLEAR,15,2,1,0,0.2863,8.47
Nagpur,Visakhapatnam,ROAD,579.2,2679.2,MEDIUM,RAIN,10,1,5,0,0.2971,17.69
Coimbatore,Bhopal,ROAD,1362.2,698.9,LOW,SNOW,8,1,9,0,0.2499,34.87
Mumbai,Coimbatore,ROAD,997.2,1680.5,LOW,CLEAR,5,2,11,0,0.1332,19.41
Mumbai,Jaipur,ROAD,920.7,460.4,LOW,CLEAR,6,5,8,1,0.1642,20.64
Mumbai,Kolkata,RAIL,1654.8,1185.8,LOW,RAIN,21,1,2,1,0.151,25.12
Chennai,Indore,ROAD,1168.6,10993.7,LOW,RAIN,17,1,9,1,0.0467,36.33
Delhi,Coimbatore,ROAD,1956.9,721.8,HIGH,CLEAR,8,6,1,2,0.2563,77.94
Visakhapatnam,Surat,ROAD,1155.7,1739.4,LOW,SNOW,13,6,3,0,0.2027,30.8
Indore,Mumbai,ROAD,509.8,167.6,LOW,CLEAR,16,1,2,2,0.1914,16.21
Guwahati,Pune,ROAD,2022.1,6796.3,MEDIUM,CLEAR,10,2,12,0,0.0661,51.78
Visakhapatnam,Coimbatore,RAIL,1002.3,618.5,MEDIUM,RAIN,11,2,5,0,0.0459,18.14
Guwahati,Surat,ROAD,2001.1,3868.6,LOW,STORM,16,2,7,1,0.2619,59.49
Kolkata,Guwahati,AIR,523.8,945.9,LOW,CLEAR,8,1,10,0,0.0538,2.01
Hyderabad,Surat,ROAD,727.5,2284.5,HIGH,CLEAR,13,0,12,0,0.0221,21.36
Visakhapatnam,Mumbai,ROAD,1101.9,2453.4,LOW,CLEAR,8,4,12,1,0.1877,27.73
Kolkata,Bhubaneswar,AIR,364.9,637.2,MEDIUM,RAIN,0,0,2,0,0.2113,1.69
Delhi,Kochi,ROAD,2079.7,4065.5,MEDIUM,CLEAR,16,4,5,0,0.0359,48.84
Nagpur,Patna,ROAD,790.9,441.1,LOW,CLEAR,16,0,5,1,0.0621,15.73
Visakhapatnam,Guwahati,AIR,1286.2,2789.2,MEDIUM,CLEAR,23,1,10,0,0.2366,5.91
Guwahati,Chennai,AIR,1882.2,686.6,LOW,SNOW,7,0,5,0,0.2789,5.26
Coimbatore,Kolkata,RAIL,1766.1,1668.1,LOW,CLEAR,17,2,3,0,0.1429,26.7
Bengaluru,Guwahati,ROAD,2080.0,629.9,LOW,RAIN,21,2,10,2,0.2376,48.16
Kochi,Chennai,RAIL,559.5,1164.4,HIGH,CLEAR,15,2,6,3,0.0958,19.97
Visakhapatnam,Bhopal,AIR,865.7,302.0,LOW,CLEAR,21,2,9,1,0.211,5.17
Nagpur,Kochi,AIR,1283.0,1476.0,LOW,CLEAR,23,6,5,0,0.1672,4.37
Visakhapatnam,Delhi,ROAD,1360.9,1156.4,HIGH,CLEAR,17,3,6,0,0.253,48.19
Visakhapatnam,Delhi,ROAD,1360.9,573.5,LOW,CLEAR,23,5,1,0,0.2328,27.55
Jaipur,Visakhapatnam,ROAD,1278.6,1026.6,HIGH,CLEAR,15,1,1,1,0.0852,40.06
Mumbai,Delhi,ROAD,1148.1,1287.9,MEDIUM,CLEAR,13,3,1,1,0.0448,30.22
Lucknow,Indore,RAIL,688.7,523.4,MEDIUM,CLEAR,20,0,3,1,0.2423,14.4
Kolkata,Coimbatore,ROAD,1766.1,939.6,MEDIUM,CLEAR,18,1,5,0,0.0098,43.5
Bengaluru,Indore,ROAD,1099.4,328.1,MEDIUM,CLEAR,6,0,1,2,0.2037,32.24
Bengaluru,Lucknow,ROAD,1581.9,18304.1,LOW,CLEAR,9,0,2,0,0.1428,49.53
Nagpur,Jaipur,ROAD,723.5,3908.6,HIGH,CLEAR,8,1,11,0,0.0226,28.47
Surat,Indore,ROAD,356.5,1521.9,HIGH,RAIN,18,1,11,0,0.2066,15.56
Surat,Bhopal,ROAD,525.7,4476.2,HIGH,STORM,8,2,4,1,0.1449,34.65
Patna,Surat,ROAD,1348.1,102.0,MEDIUM,RAIN,9,5,12,2,0.258,43.89
Surat,Chennai,AIR,1196.8,50.9,MEDIUM,CLEAR,13,1,2,0,0.0626,2.4
Indore,Nagpur,ROAD,376.4,679.2,MEDIUM,STORM,5,4,1,2,0.0007,18.31
Delhi,Patna,RAIL,853.4,209.7,LOW,STORM,21,2,5,0,0.0391,12.22
Bhubaneswar,Patna,ROAD,593.3,825.6,MEDIUM,CLEAR,12,2,4,0,0.0809,13.7
Jaipur,Delhi,ROAD,235.3,1403.6,MEDIUM,CLEAR,7,6,1,0,0.1957,8.31
Chennai,Patna,ROAD,1481.5,3309.3,MEDIUM,RAIN,8,3,11,0,0.1088,46.84
Visakhapatnam,Patna,ROAD,901.3,279.8,LOW,STORM,17,1,12,2,0.0355,31.77
Patna,Chennai,ROAD,1481.5,1771.5,MEDIUM,SNOW,15,1,4,0,0.2945,46.88
Delhi,Visakhapatnam,ROAD,1360.9,1115.7,MEDIUM,RAIN,12,1,4,0,0.0325,34.48
Chennai,Surat,RAIL,1196.8,1664.1,MEDIUM,RAIN,9,5,9,0,0.1065,24.25
Mumbai,Lucknow,ROAD,1194.7,587.7,HIGH,STORM,19,4,12,1,0.263,68.31
Hyderabad,Patna,ROAD,1142.6,5766.2,MEDIUM,CLEAR,17,1,4,2,0.1958,40.71
Delhi,Surat,RAIL,937.9,968.5,LOW,CLEAR,16,3,9,2,0.0959,17.94
Patna,Surat,ROAD,1348.1,9219.0,LOW,SNOW,11,3,1,0,0.2911,38.44
Surat,Pune,ROAD,313.6,424.8,MEDIUM,CLEAR,22,0,7,0,0.1503,7.23
Guwahati,Coimbatore,ROAD,2288.2,2674.2,MEDIUM,CLEAR,16,6,12,0,0.0024,51.05
Patna,Guwahati,ROAD,663.0,1020.9,HIGH,CLEAR,11,5,6,2,0.0018,25.44
Indore,Bengaluru,ROAD,1099.4,740.0,LOW,CLEAR,21,3,8,0,0.2823,21.74
Surat,Patna,AIR,1348.1,2342.0,LOW,CLEAR,19,5,9,3,0.0844,13.94
Delhi,Mumbai,AIR,1148.1,765.9,LOW,RAIN,17,0,8,2,0.2436,9.56
Delhi,Ahmedabad,AIR,775.7,45.0,MEDIUM,CLEAR,17,6,9,1,0.0131,4.54
Indore,Guwahati,ROAD,1650.8,27.8,HIGH,RAIN,11,4,11,1,0.0441,59.97
Mumbai,Chennai,ROAD,1033.1,5048.8,HIGH,CLEAR,13,6,1,0,0.257,35.84
Mumbai,Ahmedabad,ROAD,440.0,4799.7,MEDIUM,STORM,7,6,11,0,0.2982,21.72
Kolkata,Patna,ROAD,469.2,10559.8,HIGH,RAIN,14,4,11,0,0.0156,24.18
Bhubaneswar,Lucknow,ROAD,881.6,1073.8,LOW,STORM,10,2,11,0,0.0503,23.4
Lucknow,Bhopal,ROAD,534.5,232.5,MEDIUM,CLEAR,10,4,5,1,0.2169,16.19
Patna,Coimbatore,ROAD,1835.2,662.8,HIGH,CLEAR,21,3,7,0,0.1589,56.79
Jaipur,Surat,ROAD,705.5,1111.8,LOW,SNOW,7,2,5,2,0.1218,25.9
Chennai,Patna,ROAD,1481.5,327.5,HIGH,SNOW,18,4,11,2,0.0583,67.02
Ahmedabad,Delhi,RAIL,775.7,7929.1,LOW,CLEAR,9,6,5,0,0.2836,19.17
Delhi,Kolkata,ROAD,1303.8,16113.4,LOW,RAIN,1,1,4,0,0.0517,43.89
Kochi,Coimbatore,AIR,142.3,1946.8,MEDIUM,RAIN,2,3,9,0,0.0796,1.97
Chennai,Bhubaneswar,ROAD,996.3,1082.4,HIGH,CLEAR,11,5,1,0,0.0973,31.63
Ahmedabad,Nagpur,RAIL,703.1,231.8,LOW,RAIN,12,2,5,1,0.0416,11.85
Guwahati,Ahmedabad,ROAD,1966.8,7014.4,HIGH,CLEAR,9,2,3,1,0.1609,83.93
Bhopal,Chennai,ROAD,1171.1,1201.8,LOW,CLEAR,16,0,5,1,0.1024,22.67
Lucknow,Bhubaneswar,ROAD,881.6,775.1,MEDIUM,SNOW,12,2,6,0,0.1824,25.45
Surat,Kochi,ROAD,1302.6,1953.6,MEDIUM,CLEAR,5,4,1,2,0.1104,34.84
Kochi,Kolkata,RAIL,1906.4,543.0,LOW,SNOW,10,6,11,1,0.0349,26.84
Hyderabad,Bhopal,ROAD,662.8,1308.0,MEDIUM,RAIN,6,3,5,3,0.2618,27.27
Indore,Lucknow,ROAD,688.7,194.2,MEDIUM,STORM,4,2,5,2,0.1529,30.68
Bhubaneswar,Coimbatore,AIR,1401.3,4042.0,MEDIUM,CLEAR,8,5,2,1,0.0966,10.58
Bhopal,Bengaluru,ROAD,1144.2,967.5,LOW,CLEAR,16,1,12,0,0.0049,19.55
Jaipur,Hyderabad,RAIL,1095.1,4405.3,LOW,CLEAR,16,1,11,2,0.1794,24.45
Bengaluru,Delhi,RAIL,1739.8,861.5,HIGH,RAIN,18,3,6,0,0.2348,42.39
Kolkata,Nagpur,ROAD,970.1,931.3,MEDIUM,CLEAR,17,5,5,0,0.195,28.66
Coimbatore,Indore,ROAD,1306.5,256.0,HIGH,RAIN,13,1,6,0,0.2363,46.06
Surat,Guwahati,ROAD,2001.1,2729.0,MEDIUM,CLEAR,9,0,12,0,0.0465,52.85
Pune,Surat,RAIL,313.6,383.4,HIGH,CLEAR,0,5,3,0,0.2915,7.49
Jaipur,Chennai,ROAD,1607.1,611.7,LOW,SNOW,15,4,9,0,0.0634,32.82
Bhopal,Lucknow,ROAD,534.5,1098.0,MEDIUM,SNOW,9,4,11,2,0.08,24.89
Surat,Delhi,ROAD,937.9,1268.3,MEDIUM,CLEAR,8,2,10,1,0.1537,30.33
Nagpur,Bhubaneswar,AIR,706.9,141.6,LOW,RAIN,22,0,11,2,0.0016,8.13
Hyderabad,Pune,RAIL,505.8,831.3,LOW,CLEAR,7,2,12,2,0.1327,12.86
Indore,Pune,AIR,511.2,2847.7,MEDIUM,SNOW,2,3,1,0,0.0587,3.91
Jaipur,Delhi,RAIL,235.3,696.4,HIGH,CLEAR,21,3,3,1,0.2247,8.56
Coimbatore,Jaipur,RAIL,1771.7,837.4,MEDIUM,RAIN,9,6,2,1,0.2273,39.37
Chennai,Lucknow,ROAD,1532.1,1332.6,LOW,CLEAR,11,1,7,0,0.1847,29.4
Bengaluru,Kochi,AIR,367.7,942.8,HIGH,CLEAR,5,2,5,3,0.1265,11.49
Lucknow,Kochi,RAIL,1944.0,318.4,LOW,SNOW,11,1,1,2,0.0931,30.08
Surat,Bengaluru,ROAD,1042.5,1049.8,LOW,CLEAR,22,3,7,0,0.2482,20.33
Nagpur,Hyderabad,RAIL,422.9,3615.1,HIGH,CLEAR,16,5,2,2,0.1521,16.81
Jaipur,Surat,RAIL,705.5,310.6,MEDIUM,CLEAR,12,6,5,0,0.1489,11.95
Coimbatore,Pune,ROAD,898.3,699.7,HIGH,CLEAR,9,1,5,2,0.034,37.23
Lucknow,Mumbai,ROAD,1194.7,208.9,HIGH,RAIN,10,3,11,1,0.0655,47.98
Bengaluru,Visakhapatnam,ROAD,799.0,3393.6,MEDIUM,CLEAR,15,5,9,0,0.1081,23.43
Bengaluru,Patna,AIR,1610.3,981.6,LOW,RAIN,8,0,8,2,0.2097,11.21
Guwahati,Surat,ROAD,2001.1,395.3,LOW,SNOW,7,4,10,1,0.2536,56.28
Bengaluru,Pune,AIR,735.2,1225.0,HIGH,CLEAR,16,0,3,0,0.2979,2.87
Coimbatore,Visakhapatnam,ROAD,1002.3,258.7,HIGH,SNOW,18,0,4,1,0.1282,45.45
Hyderabad,Mumbai,RAIL,621.5,317.3,LOW,CLEAR,19,0,10,1,0.136,11.89
Delhi,Jaipur,ROAD,235.3,190.2,LOW,CLEAR,18,6,9,0,0.2298,4.85
Pune,Visakhapatnam,AIR,993.7,304.9,LOW,CLEAR,13,4,1,1,0.0964,5.44
Indore,Guwahati,ROAD,1650.8,5590.4,LOW,CLEAR,17,5,3,0,0.1622,41.25
Jaipur,Hyderabad,ROAD,1095.1,455.0,HIGH,CLEAR,20,4,3,0,0.2031,36.26
Kochi,Nagpur,ROAD,1283.0,1918.8,LOW,CLEAR,1,5,1,1,0.0709,27.94
Indore,Chennai,ROAD,1168.6,402.0,MEDIUM,SNOW,11,3,8,0,0.0839,31.61
Jaipur,Bengaluru,ROAD,1561.5,2728.3,HIGH,RAIN,8,5,1,0,0.1069,63.73
Indore,Ahmedabad,RAIL,338.4,320.1,MEDIUM,STORM,23,0,11,2,0.1733,13.05
Guwahati,Bhubaneswar,AIR,887.3,1149.5,MEDIUM,RAIN,20,4,8,2,0.0811,9.2
Jaipur,Nagpur,RAIL,723.5,1168.4,LOW,RAIN,17,5,10,1,0.0625,13.68
Chennai,Lucknow,RAIL,1532.1,17914.5,LOW,CLEAR,9,6,6,1,0.0449,41.53
Jaipur,Hyderabad,ROAD,1095.1,2336.7,LOW,RAIN,21,2,12,2,0.2428,29.74
Visakhapatnam,Bengaluru,AIR,799.0,538.4,LOW,CLEAR,2,1,4,2,0.2658,8.26
Kolkata,Hyderabad,AIR,1181.9,2495.0,LOW,STORM,7,5,7,0,0.2714,6.35
Coimbatore,Chennai,ROAD,427.4,14268.5,LOW,STORM,15,0,1,0,0.2465,24.96
Bhopal,Chennai,AIR,1171.1,155.2,LOW,CLEAR,17,5,10,0,0.0412,2.52
Indore,Nagpur,ROAD,376.4,399.0,LOW,RAIN,19,4,7,0,0.0293,8.65
Pune,Bengaluru,AIR,735.2,825.3,HIGH,RAIN,9,4,3,0,0.1497,2.59
Coimbatore,Mumbai,AIR,997.2,664.8,LOW,RAIN,10,2,10,1,0.1564,6.91
Mumbai,Surat,RAIL,232.9,735.6,LOW,CLEAR,12,0,12,1,0.2198,6.69
Hyderabad,Lucknow,ROAD,1082.1,229.3,HIGH,RAIN,1,4,1,2,0.0669,38.04
Jaipur,Bengaluru,RAIL,1561.5,5912.0,LOW,SNOW,18,2,11,0,0.2793,29.97
Lucknow,Kolkata,ROAD,887.0,198.9,MEDIUM,CLEAR,10,2,9,0,0.093,19.16
Lucknow,Jaipur,RAIL,511.7,862.4,HIGH,RAIN,7,1,5,0,0.1733,12.49
Bengaluru,Nagpur,ROAD,922.7,3846.8,MEDIUM,CLEAR,11,2,8,0,0.2593,26.53
Kolkata,Jaipur,RAIL,1357.8,1057.6,LOW,STORM,16,5,10,0,0.157,21.57
Delhi,Surat,AIR,937.9,338.6,MEDIUM,CLEAR,19,6,6,3,0.2261,11.24
Bhopal,Surat,ROAD,525.7,217.4,MEDIUM,CLEAR,8,2,8,0,0.2247,15.12
Ahmedabad,Hyderabad,ROAD,879.5,832.1,LOW,CLEAR,7,0,1,1,0.237,21.84
Bhopal,Hyderabad,RAIL,662.8,442.1,LOW,SNOW,21,0,12,0,0.2433,10.14
Bhopal,Jaipur,ROAD,437.9,1402.9,LOW,RAIN,14,1,12,1,0.1177,11.78
Patna,Mumbai,ROAD,1453.2,204.0,HIGH,CLEAR,10,0,3,2,0.1091,47.8
Surat,Nagpur,ROAD,648.8,2909.2,LOW,CLEAR,7,4,6,2,0.241,21.64
Indore,Pune,ROAD,511.2,1259.7,LOW,SNOW,23,4,3,0,0.1739,12.84
Bhopal,Ahmedabad,RAIL,495.7,1377.2,MEDIUM,CLEAR,16,5,5,2,0.1823,14.6
Nagpur,Pune,RAIL,620.1,6181.4,HIGH,CLEAR,8,2,4,0,0.1236,22.15
Indore,Nagpur,ROAD,376.4,648.5,LOW,STORM,6,5,11,2,0.0605,15.35
Pune,Kochi,ROAD,989.7,459.0,LOW,CLEAR,7,1,9,0,0.1371,21.73
Kolkata,Bengaluru,ROAD,1560.7,568.3,MEDIUM,RAIN,8,1,11,1,0.2909,52.33
Kochi,Jaipur,ROAD,1888.9,870.4,MEDIUM,CLEAR,6,6,10,1,0.0873,48.96
Pune,Mumbai,RAIL,120.2,983.2,MEDIUM,RAIN,8,6,9,2,0.0816,9.26
Surat,Lucknow,ROAD,1037.7,404.7,HIGH,SNOW,6,4,2,2,0.0392,47.53
Chennai,Kolkata,RAIL,1358.4,96.8,LOW,CLEAR,10,4,10,0,0.1444,18.29
Jaipur,Pune,AIR,953.9,559.4,LOW,RAIN,12,4,10,2,0.0866,8.74
Surat,Lucknow,RAIL,1037.7,1688.8,LOW,STORM,12,5,2,0,0.2061,18.76
Indore,Pune,RAIL,511.2,1291.4,LOW,SNOW,18,1,2,0,0.0405,8.67
Surat,Ahmedabad,ROAD,207.7,4626.1,MEDIUM,CLEAR,8,0,10,0,0.0742,9.35
Ahmedabad,Kochi,ROAD,1507.8,11459.6,MEDIUM,CLEAR,19,1,5,0,0.0186,50.4
Guwahati,Visakhapatnam,ROAD,1286.2,2727.7,LOW,SNOW,19,2,4,0,0.0124,34.1
Surat,Mumbai,RAIL,232.9,5761.9,MEDIUM,CLEAR,21,1,5,1,0.2442,11.44
Visakhapatnam,Ahmedabad,AIR,1257.9,2752.1,LOW,CLEAR,7,3,11,0,0.2718,5.74
Patna,Visakhapatnam,ROAD,901.3,8534.6,MEDIUM,CLEAR,8,0,5,1,0.2292,36.22
Bhopal,Surat,ROAD,525.7,10107.4,LOW,SNOW,15,4,5,0,0.2595,21.53
Bhubaneswar,Kolkata,ROAD,364.9,3433.7,MEDIUM,CLEAR,7,4,5,1,0.026,15.08
Bengaluru,Bhopal,RAIL,1144.2,2559.7,LOW,CLEAR,5,0,1,0,0.2694,17.35
Coimbatore,Bengaluru,RAIL,228.2,857.2,HIGH,RAIN,5,2,1,0,0.1398,6.01
Bhubaneswar,Mumbai,RAIL,1361.9,1043.6,HIGH,CLEAR,14,3,5,1,0.2306,32.14
Surat,Indore,AIR,356.5,731.1,HIGH,CLEAR,17,0,1,2,0.1847,7.8
Patna,Surat,ROAD,1348.1,2311.2,HIGH,CLEAR,8,4,10,3,0.105,54.07
Surat,Kochi,RAIL,1302.6,462.0,LOW,CLEAR,20,5,6,0,0.0794,15.9
Hyderabad,Pune,RAIL,505.8,871.9,MEDIUM,STORM,17,2,7,2,0.0354,18.44
Kochi,Bhubaneswar,ROAD,1541.8,65.0,LOW,CLEAR,5,0,5,1,0.1238,28.29
Kolkata,Jaipur,AIR,1357.8,8670.7,HIGH,SNOW,11,3,10,2,0.1482,17.91
Pune,Patna,ROAD,1402.5,841.7,LOW,CLEAR,4,6,6,0,0.2949,29.54
Surat,Bengaluru,RAIL,1042.5,1894.5,LOW,CLEAR,20,2,1,0,0.0112,13.52
Visakhapatnam,Delhi,RAIL,1360.9,6306.5,MEDIUM,CLEAR,17,5,6,0,0.177,31.88
Ahmedabad,Kochi,AIR,1507.8,1572.4,LOW,RAIN,16,6,3,2,0.1575,11.31
Lucknow,Visakhapatnam,RAIL,1044.9,6205.6,MEDIUM,CLEAR,16,1,8,0,0.0069,20.67
Mumbai,Coimbatore,ROAD,997.2,247.1,LOW,CLEAR,9,4,7,0,0.0989,18.99
Bengaluru,Pune,AIR,735.2,19474.3,MEDIUM,STORM,20,0,6,1,0.1269,24.51
Delhi,Mumbai,RAIL,1148.1,4042.2,HIGH,CLEAR,20,3,5,3,0.1483,38.0
Delhi,Guwahati,RAIL,1459.4,1409.6,MEDIUM,STORM,17,6,8,1,0.07,40.02
Bhubaneswar,Indore,RAIL,1065.4,6063.8,LOW,CLEAR,12,6,9,1,0.0102,21.18
Visakhapatnam,Kolkata,ROAD,763.8,269.8,LOW,CLEAR,3,1,11,0,0.0882,13.31
